dt,LandMaxTemperature,LandMinTemperature,LandAndOceanAverageTemperature,LandAverageTemperature
1832-11-01,,,,4.262
1832-12-01,,,,0.782
1833-01-01,,,,2.006
1833-02-01,,,,2.815
1833-03-01,,,,4.521
1833-04-01,,,,7.869
1833-05-01,,,,10.581
1833-06-01,,,,13.049
1833-07-01,,,,13.803
1833-08-01,,,,13.222
1833-09-01,,,,11.236
1833-10-01,,,,7.9
1833-11-01,,,,6.596
1833-12-01,,,,2.558
1834-01-01,,,,0.334
1834-02-01,,,,2.329
1834-03-01,,,,5.736
1834-04-01,,,,8.085
1834-05-01,,,,11.234
1834-06-01,,,,12.799
1834-07-01,,,,14.197
1834-08-01,,,,13.412
1834-09-01,,,,11.571
1834-10-01,,,,8.617
1834-11-01,,,,6.355
1834-12-01,,,,3.092
1835-01-01,,,,2.551
1835-02-01,,,,2.967
1835-03-01,,,,4.507
1835-04-01,,,,7.769
1835-05-01,,,,10.171
1835-06-01,,,,12.007
1835-07-01,,,,13.129
1835-08-01,,,,12.322
1835-09-01,,,,9.942
1835-10-01,,,,7.835
1835-11-01,,,,4.312
1835-12-01,,,,1.198
1836-01-01,,,,1.67
1836-02-01,,,,2.371
1836-03-01,,,,5.448
1836-04-01,,,,7.315
1836-05-01,,,,10.279
1836-06-01,,,,12.549
1836-07-01,,,,13.646
1836-08-01,,,,12.83
1836-09-01,,,,10.812
1836-10-01,,,,8.756
1836-11-01,,,,3.814
1836-12-01,,,,2.86
1837-01-01,,,,1.94
1837-02-01,,,,2.619
1837-03-01,,,,3.865
1837-04-01,,,,6.556
1837-05-01,,,,9.973
1837-06-01,,,,12.099
1837-07-01,,,,13.526
1837-08-01,,,,13.018
1837-09-01,,,,10.805
1837-10-01,,,,7.653
1837-11-01,,,,4.169
1837-12-01,,,,2.285
1838-01-01,,,,-0.557
1838-02-01,,,,1.563
1838-03-01,,,,3.723
1838-04-01,,,,7.383
1838-05-01,,,,9.985
1838-06-01,,,,12.742
1838-07-01,,,,14.367
1838-08-01,,,,13.568
1838-09-01,,,,11.106
1838-10-01,,,,8.526
1838-11-01,,,,5.16
1838-12-01,,,,2.613
1839-01-01,,,,2.156
1839-02-01,,,,3.482
1839-03-01,,,,2.673
1839-04-01,,,,7.892
1839-05-01,,,,10.289
1839-06-01,,,,12.548
1839-07-01,,,,14.411
1839-08-01,,,,14.07
1839-09-01,,,,10.853
1839-10-01,,,,8.219
1839-11-01,,,,3.92
1839-12-01,,,,1.074
1840-01-01,,,,2.561
1840-02-01,,,,2.102
1840-03-01,,,,4.04
1840-04-01,,,,7.943
1840-05-01,,,,11.173
1840-06-01,,,,13.411
1840-07-01,,,,14.714
1840-08-01,,,,13.086
1840-09-01,,,,11.01
1840-10-01,,,,7.505
1840-11-01,,,,4.101
1840-12-01,,,,1.909
1841-01-01,,,,0.649
1841-02-01,,,,2.468
1841-03-01,,,,3.307
1841-04-01,,,,6.77
1841-05-01,,,,10.764
1841-06-01,,,,13.062
1841-07-01,,,,14.552
1841-08-01,,,,13.708
1841-09-01,,,,10.921
1841-10-01,,,,8.765
1841-11-01,,,,4.744
1841-12-01,,,,2.548
1842-01-01,,,,1.636
1842-02-01,,,,2.787
1842-03-01,,,,5.75
1842-04-01,,,,8.31
1842-05-01,,,,10.535
1842-06-01,,,,12.629
1842-07-01,,,,13.584
1842-08-01,,,,13.241
1842-09-01,,,,10.94
1842-10-01,,,,8.307
1842-11-01,,,,4.824
1842-12-01,,,,3.73
1843-01-01,,,,2.974
1843-02-01,,,,3.92
1843-03-01,,,,4.744
1843-04-01,,,,7.83
1843-05-01,,,,10.04
1843-06-01,,,,12.53
1843-07-01,,,,13.991
1843-08-01,,,,13.295
1843-09-01,,,,11.326
1843-10-01,,,,8.722
1843-11-01,,,,4.947
1843-12-01,,,,3.765
1844-01-01,,,,1.868
1844-02-01,,,,2.038
1844-03-01,,,,4.734
1844-04-01,,,,7.389
1844-05-01,,,,10.109
1844-06-01,,,,12.84
1844-07-01,,,,13.921
1844-08-01,,,,13.046
1844-09-01,,,,10.819
1844-10-01,,,,8.7
1844-11-01,,,,4.401
1844-12-01,,,,1.891
1845-01-01,,,,2.661
1845-02-01,,,,1.627
1845-03-01,,,,4.651
1845-04-01,,,,8.158
1845-05-01,,,,10.433
1845-06-01,,,,12.863
1845-07-01,,,,14.319
1845-08-01,,,,13.556
1845-09-01,,,,11.234
1845-10-01,,,,7.782
1845-11-01,,,,5.194
1845-12-01,,,,1.736
1846-01-01,,,,3.213
1846-02-01,,,,3.376
1846-03-01,,,,6.314
1846-04-01,,,,7.473
1846-05-01,,,,10.896
1846-06-01,,,,13.53
1846-07-01,,,,14.923
1846-08-01,,,,14.121
1846-09-01,,,,11.738
1846-10-01,,,,8.229
1846-11-01,,,,5.044
1846-12-01,,,,3.776
1847-01-01,,,,2.753
1847-02-01,,,,3.602
1847-03-01,,,,4.046
1847-04-01,,,,7.98
1847-05-01,,,,10.622
1847-06-01,,,,12.828
1847-07-01,,,,14.25
1847-08-01,,,,13.414
1847-09-01,,,,11.619
1847-10-01,,,,8.618
1847-11-01,,,,5.574
1847-12-01,,,,1.726
1848-01-01,,,,0.51
1848-02-01,,,,3.726
1848-03-01,,,,4.806
1848-04-01,,,,8.11
1848-05-01,,,,10.58
1848-06-01,,,,13.247
1848-07-01,,,,14.466
1848-08-01,,,,13.268
1848-09-01,,,,10.997
1848-10-01,,,,8.655
1848-11-01,,,,5.29
1848-12-01,,,,2.099
1849-01-01,,,,1.941
1849-02-01,,,,2.638
1849-03-01,,,,5.302
1849-04-01,,,,7.028
1849-05-01,,,,10.159
1849-06-01,,,,13
1849-07-01,,,,14.458
1849-08-01,,,,13.603
1849-09-01,,,,11.093
1849-10-01,,,,8.89
1849-11-01,,,,5.778
1849-12-01,,,,1.923
1850-01-01,8.242,-3.206,12.833,0.749
1850-02-01,9.97,-2.291,13.588,3.071
1850-03-01,10.347,-1.905,14.043,4.954
1850-04-01,12.934,1.018,14.667,7.217
1850-05-01,15.655,3.811,15.507,10.004
1850-06-01,18.946,7.106,16.353,13.15
1850-07-01,19.233,8.014,16.783,14.492
1850-08-01,18.477,7.406,16.718,14.039
1850-09-01,15.846,4.533,15.886,11.505
1850-10-01,13.189,2.013,14.831,8.091
1850-11-01,11.388,-0.12,13.897,4.733
1850-12-01,7.493,-2.807,13.3,2.803
1851-01-01,8.951,-2.443,13.245,2.431
1851-02-01,9.808,-1.507,13.331,2.508
1851-03-01,11.507,-0.7,13.897,4.192
1851-04-01,14.236,2.331,14.64,7.287
1851-05-01,15.01,4.136,15.771,11.113
1851-06-01,17.288,6.374,16.496,13.418
1851-07-01,17.103,7.425,16.831,14.531
1851-08-01,17.361,6.595,16.621,13.751
1851-09-01,16.36,5.525,16.058,11.677
1851-10-01,14.961,3.298,15.213,9.122
1851-11-01,7.951,-1.345,14.161,4.973
1851-12-01,6.436,-3.242,13.638,3.14
1852-01-01,8.474,-2.755,13.231,2.376
1852-02-01,8.569,-2.337,13.311,2.54
1852-03-01,9.215,-2.491,13.736,3.884
1852-04-01,11.249,0.647,14.786,7.487
1852-05-01,15.835,4.624,15.899,11.169
1852-06-01,17.76,6.705,16.619,13.164
1852-07-01,17.795,7.57,16.984,14.512
1852-08-01,17.567,7.429,16.566,13.304
1852-09-01,16.665,5.742,16.038,11.478
1852-10-01,14.849,2.813,15.178,8.91
1852-11-01,12.009,0.736,13.948,4.593
1852-12-01,10.781,-0.639,13.782,3.785
1853-01-01,8.972,-2.818,13.143,1.786
1853-02-01,8.29,-3.213,13.362,2.228
1853-03-01,10.325,-1.966,14.033,4.078
1853-04-01,13.72,1.655,14.919,7.541
1853-05-01,16.543,4.364,15.793,10.975
1853-06-01,18.611,6.944,16.455,13.41
1853-07-01,18.923,6.933,16.999,14.645
1853-08-01,19.308,7.273,16.789,13.953
1853-09-01,17.691,5.779,15.942,11.71
1853-10-01,14.757,1.85,14.874,8.535
1853-11-01,11.269,-0.076,13.829,4.783
1853-12-01,8.23,-4.015,13.324,2.858
1854-01-01,8.786,-3.552,12.983,1.281
1854-02-01,8.508,-4.109,13.248,1.941
1854-03-01,10.469,-1.413,14.089,4.698
1854-04-01,13.402,0.566,14.945,7.622
1854-05-01,16.748,4.184,15.793,11.095
1854-06-01,18.188,6.493,16.286,12.829
1854-07-01,20.426,7.89,16.775,14.692
1854-08-01,19.291,7.303,16.707,13.889
1854-09-01,17.357,5.554,16.098,11.514
1854-10-01,15.341,3.033,15.378,9.763
1854-11-01,10.707,-1.406,14.123,5.745
1854-12-01,8.506,-3.397,13.467,3.457
1855-01-01,8.22,-3.125,13.384,2.522
1855-02-01,7.604,-4.947,13.646,2.982
1855-03-01,10.16,-1.865,14.172,4.617
1855-04-01,13.709,1.141,15.187,8.58
1855-05-01,16.77,4.286,15.822,11.186
1855-06-01,17.642,6.476,16.445,12.984
1855-07-01,18.467,7.691,16.675,13.926
1855-08-01,19.012,6.931,16.685,13.547
1855-09-01,17.078,5.499,15.829,11.141
1855-10-01,14.26,2.317,15.075,8.444
1855-11-01,11.117,-0.517,14.118,5.186
1855-12-01,7.879,-3.453,13.215,2.214
1856-01-01,7.298,-3.727,13.368,2.76
1856-02-01,8.294,-3.679,13.311,2.226
1856-03-01,10.327,-2.241,13.957,4.372
1856-04-01,14.387,1.242,14.945,7.751
1856-05-01,16.704,3.945,15.813,10.53
1856-06-01,18.326,6.879,16.492,13.496
1856-07-01,18.349,7.035,16.675,14.019
1856-08-01,18.386,6.767,16.39,13.021
1856-09-01,17.21,4.864,15.641,10.948
1856-10-01,14.128,1.979,14.783,8.087
1856-11-01,10.349,-1.433,13.856,5.36
1856-12-01,7.885,-3.33,13.321,3.381
1857-01-01,6.642,-5.407,12.972,1.821
1857-02-01,9.602,-1.92,13.385,2.481
1857-03-01,10.2,-1.071,13.916,4.312
1857-04-01,13.107,0.88,14.481,6.827
1857-05-01,15.6,3.639,15.279,9.885
1857-06-01,17.372,5.849,16.175,12.611
1857-07-01,18.717,7.438,16.478,13.953
1857-08-01,18.194,6.998,16.459,13.203
1857-09-01,17.223,5.146,15.84,11.056
1857-10-01,14.558,2.881,14.918,8.198
1857-11-01,10.527,-0.605,13.829,5.236
1857-12-01,9.509,-1.546,13.367,3.515
1858-01-01,9.044,-2.692,13.221,2.739
1858-02-01,7.829,-4.148,13.29,2.284
1858-03-01,10.44,-1.47,14.044,4.834
1858-04-01,13.912,1.041,14.967,8.25
1858-05-01,16.258,3.864,15.541,10.851
1858-06-01,18.968,7.038,16.172,12.956
1858-07-01,18.561,7.888,16.51,13.677
1858-08-01,18.261,7.264,16.489,13.22
1858-09-01,17.559,5.505,15.833,11.148
1858-10-01,15.071,3.688,15.114,8.81
1858-11-01,9.803,-0.684,14.134,5.99
1858-12-01,8.49,-1.965,13.263,2.444
1859-01-01,8.074,-2.7,13.058,2.015
1859-02-01,8.968,-1.858,13.33,2.611
1859-03-01,11.16,-0.458,14.104,5.023
1859-04-01,14.225,1.434,15.197,8.542
1859-05-01,17.021,5.277,15.868,11.456
1859-06-01,18.285,7.057,16.4,13.142
1859-07-01,19.444,7.85,16.494,13.827
1859-08-01,19.201,7.965,16.45,13.217
1859-09-01,16.483,5.423,15.589,11.08
1859-10-01,14.235,2.968,15.062,8.834
1859-11-01,10.973,-0.014,14.094,5.912
1859-12-01,8.255,-3.422,13.513,3.365
1860-01-01,9.772,-2.059,13.17,2.077
1860-02-01,8.747,-3.232,13.424,2.632
1860-03-01,11.821,-0.714,13.714,3.494
1860-04-01,13.511,1.805,14.861,7.76
1860-05-01,16.822,4.792,15.758,11.062
1860-06-01,19.163,7.213,16.338,13.272
1860-07-01,18.566,7.45,16.737,14.203
1860-08-01,18.984,7.069,16.634,13.765
1860-09-01,16.892,5.536,16.133,11.892
1860-10-01,13.677,2.906,15.076,8.712
1860-11-01,11.012,-0.111,13.922,5.027
1860-12-01,8.556,-2.525,12.828,1.634
1861-01-01,7.743,-3.256,12.475,0.404
1861-02-01,8.601,-3.055,12.917,2.137
1861-03-01,9.786,-2.007,13.824,4.489
1861-04-01,12.772,1.372,15.018,7.487
1861-05-01,15.401,3.858,15.489,10.516
1861-06-01,19.299,7.391,16.358,13.017
1861-07-01,19.37,7.803,16.547,13.967
1861-08-01,18.907,7.563,16.716,13.656
1861-09-01,17.769,5.988,15.927,11.409
1861-10-01,15.644,3.277,14.905,8.475
1861-11-01,12.044,0.41,14.095,5.707
1861-12-01,8.945,-2.191,13.337,2.894
1862-01-01,7.361,-4.11,12.658,0.685
1862-02-01,7.407,-4.346,13.192,1.769
1862-03-01,11.112,-1.314,14.044,4.485
1862-04-01,13.955,1.932,14.825,7.323
1862-05-01,17.854,5.675,15.708,10.739
1862-06-01,18.539,6.795,16.349,12.86
1862-07-01,20.663,9.21,16.593,13.928
1862-08-01,19.605,8.086,16.306,13.188
1862-09-01,18.042,6.123,15.788,11.028
1862-10-01,15.138,3.245,14.902,8.283
1862-11-01,11.889,0.244,13.784,4.792
1862-12-01,9.402,-1.747,12.732,1.623
1863-01-01,8.462,-1.766,13.296,3.034
1863-02-01,8.909,-2.11,13.634,3.253
1863-03-01,10.352,-0.853,14.006,4.682
1863-04-01,14.257,1.642,15.01,7.931
1863-05-01,16.999,5.917,15.823,11.081
1863-06-01,18.202,7.925,16.224,12.794
1863-07-01,18.095,8.307,16.575,13.765
1863-08-01,18.408,7.833,16.437,13.294
1863-09-01,15.91,5.439,15.898,11.23
1863-10-01,13.944,3.282,14.978,8.235
1863-11-01,11.351,0.175,13.992,5.392
1863-12-01,8.55,-2.586,13.356,2.651
1864-01-01,7.071,-3.848,12.879,1.551
1864-02-01,8.542,-2.856,13.275,2.506
1864-03-01,11.747,-0.725,13.99,4.651
1864-04-01,13.395,1.665,14.83,7.515
1864-05-01,16.908,4.849,15.851,10.956
1864-06-01,18.457,7.909,16.49,13.365
1864-07-01,18.831,7.413,16.715,14.162
1864-08-01,18.909,7.546,16.494,13.434
1864-09-01,17.063,5.721,15.85,11.37
1864-10-01,15.047,3.246,14.972,8.795
1864-11-01,12.502,0.665,14.141,5.232
1864-12-01,8.555,-2.663,13.271,2.266
1865-01-01,8.841,-3.212,13.503,2.975
1865-02-01,8.911,-3.117,13.506,2.152
1865-03-01,11.582,-0.592,13.914,4.039
1865-04-01,14.276,1.793,14.861,7.314
1865-05-01,16.968,4.874,15.756,10.917
1865-06-01,19.022,7.509,16.414,13.214
1865-07-01,19.108,8.163,16.749,14.22
1865-08-01,19.111,7.595,16.657,13.58
1865-09-01,17.841,5.789,16.082,11.797
1865-10-01,15.281,3.345,15.157,9.136
1865-11-01,12.418,0.992,14.101,6.144
1865-12-01,8.218,-2.517,13.26,2.646
1866-01-01,8.188,-2.923,13.467,2.932
1866-02-01,9.636,-2.053,13.586,2.274
1866-03-01,10.824,-0.881,13.95,4.421
1866-04-01,14.889,2.084,14.713,7.914
1866-05-01,16.817,4.582,15.63,10.898
1866-06-01,18.753,7.077,16.596,12.853
1866-07-01,20.369,8.183,17.06,14.602
1866-08-01,18.947,7.088,16.695,13.532
1866-09-01,17.508,5.807,15.918,11.527
1866-10-01,14.624,2.994,15.062,8.506
1866-11-01,10.76,0.182,14.275,5.895
1866-12-01,8.676,-2.953,13.732,4.152
1867-01-01,8.137,-3.308,13.371,2.482
1867-02-01,9.183,-2.172,13.458,2.664
1867-03-01,10.572,-1.195,14.073,4.454
1867-04-01,13.852,2.307,15.1,8.258
1867-05-01,16.21,4.665,15.56,10.495
1867-06-01,19.753,8.032,16.366,13.303
1867-07-01,20.032,8.387,16.672,14.223
1867-08-01,19.626,7.706,16.454,13.506
1867-09-01,17.566,5.911,16.147,11.763
1867-10-01,15.374,3.705,15.318,9.212
1867-11-01,11.143,-0.796,14.632,6.939
1867-12-01,8.313,-3.678,13.553,3.937
1868-01-01,7.611,-3.478,13.012,1.834
1868-02-01,8.817,-3.455,13.295,2.039
1868-03-01,11.411,-0.63,14.135,4.538
1868-04-01,13.316,1.138,15.082,8.183
1868-05-01,17.059,4.861,15.992,11.308
1868-06-01,19.005,7.203,16.529,13.162
1868-07-01,20.504,8.702,17.025,14.514
1868-08-01,19.818,8.121,16.793,13.744
1868-09-01,17.988,5.726,16.107,11.669
1868-10-01,14.925,3.086,15.376,9.448
1868-11-01,10.181,-0.35,14.174,5.192
1868-12-01,8.54,-2.488,13.643,3.344
1869-01-01,8.206,-3.173,13.289,2.115
1869-02-01,9.618,-2.406,13.951,3.864
1869-03-01,11.012,-1.312,13.947,4.374
1869-04-01,13.787,1.297,15.016,7.921
1869-05-01,17.279,4.382,15.896,11.295
1869-06-01,18.871,7.196,16.396,13.537
1869-07-01,19.825,7.732,16.667,14.337
1869-08-01,19.663,7.948,16.711,14.01
1869-09-01,17.561,5.377,16.18,12.247
1869-10-01,14.063,1.968,15.171,9.006
1869-11-01,10.418,-0.509,14.255,5.773
1869-12-01,8.531,-2.519,13.307,2.706
1870-01-01,8.527,-3.307,13.304,2.082
1870-02-01,8.544,-3.527,13.359,2.134
1870-03-01,9.692,-1.419,14.139,4.656
1870-04-01,14.287,1.57,15.052,7.879
1870-05-01,18.068,5.33,15.826,11.339
1870-06-01,19.531,7.793,16.511,13.653
1870-07-01,20.29,8.851,16.86,14.599
1870-08-01,19.318,7.974,16.617,13.484
1870-09-01,17.017,5.456,16.073,11.952
1870-10-01,14.188,2.848,15.056,8.81
1870-11-01,12.574,0.629,14.079,5.6
1870-12-01,8.485,-3.1,13.176,2.228
1871-01-01,7.962,-2.937,13.089,1.447
1871-02-01,8.782,-3.061,13.299,1.736
1871-03-01,11.047,-1.75,14.223,4.685
1871-04-01,13.97,1.89,15.233,8.34
1871-05-01,16.627,4.525,15.77,10.788
1871-06-01,19.127,7.47,16.458,13.08
1871-07-01,19.837,7.927,16.858,14.29
1871-08-01,19.812,7.898,16.653,13.932
1871-09-01,17.394,5.037,16.02,11.711
1871-10-01,14.697,2.891,15.061,9.096
1871-11-01,10.639,-0.317,13.972,5.113
1871-12-01,7.912,-3.677,13.435,3.163
1872-01-01,8.228,-3.228,13.041,1.652
1872-02-01,8.953,-3.26,13.376,2.35
1872-03-01,11.159,-2.156,14.107,4.922
1872-04-01,14.041,1.464,14.969,7.846
1872-05-01,17.369,5.046,15.927,11.198
1872-06-01,19.299,7.564,16.361,13.055
1872-07-01,19.705,7.884,16.843,14.285
1872-08-01,19.415,7.451,16.822,13.821
1872-09-01,17.718,5.938,16.173,11.958
1872-10-01,15.715,3.025,15.181,9.24
1872-11-01,11.293,-0.061,14.101,5.372
1872-12-01,8.526,-3.418,13.331,2.627
1873-01-01,8.285,-3.44,13.353,2.013
1873-02-01,8.591,-3.719,13.707,3.195
1873-03-01,11.105,-1.761,14.151,4.704
1873-04-01,13.983,1.069,14.879,7.462
1873-05-01,16.765,4.202,15.821,11.006
1873-06-01,19.006,6.783,16.429,13.405
1873-07-01,19.974,8.024,16.805,14.287
1873-08-01,19.241,7.447,16.726,13.755
1873-09-01,16.979,5.298,15.965,11.487
1873-10-01,14.431,2.386,15.13,9.234
1873-11-01,10.914,-0.812,14.094,5.819
1873-12-01,8.848,-2.628,13.531,3.846
1874-01-01,7.383,-3.764,13.392,2.685
1874-02-01,7.962,-3.23,13.458,3.069
1874-03-01,8.948,-1.942,13.807,4.221
1874-04-01,13.237,1.005,14.91,8.231
1874-05-01,16.969,4.667,15.75,11.306
1874-06-01,19.062,6.857,16.211,13.306
1874-07-01,19.82,7.488,16.745,14.122
1874-08-01,19.618,7.229,16.645,13.815
1874-09-01,17.704,5.632,16.122,12.111
1874-10-01,15.841,3.025,15.005,9.12
1874-11-01,10.563,-0.549,14.013,5.809
1874-12-01,9.495,-1.678,13.426,3.407
1875-01-01,6.679,-4.717,13.027,1.533
1875-02-01,7.522,-4.365,13.35,2.259
1875-03-01,10.673,-2.207,13.974,4.256
1875-04-01,13.759,1.174,14.923,7.636
1875-05-01,17.509,4.163,15.792,10.746
1875-06-01,19.603,6.497,16.358,13.157
1875-07-01,20.534,7.873,16.683,14.144
1875-08-01,20.053,7.327,16.638,13.401
1875-09-01,17.713,5.173,16.059,11.319
1875-10-01,14.754,2.205,15.125,8.585
1875-11-01,10.56,-1.351,13.905,4.614
1875-12-01,8.742,-2.402,13.229,2.665
1876-01-01,7.327,-3.325,13.1,1.856
1876-02-01,8.895,-3.095,13.496,2.617
1876-03-01,10.247,-1.711,14.047,4.748
1876-04-01,14.188,1.814,14.95,8.199
1876-05-01,16.783,4.728,15.57,10.69
1876-06-01,18.888,6.77,16.29,13.131
1876-07-01,19.855,7.891,16.848,14.319
1876-08-01,19.665,7.55,16.579,13.481
1876-09-01,17.667,5.687,15.89,11.687
1876-10-01,14.4,2.766,15.047,8.946
1876-11-01,10.498,-0.653,13.903,5.093
1876-12-01,8.805,-2.806,13.193,2.194
1877-01-01,8.079,-3.162,13.306,2.286
1877-02-01,9.755,-2.357,13.732,2.928
1877-03-01,10.782,-1.478,14.459,5.297
1877-04-01,13.827,2.032,15.126,8.039
1877-05-01,16.802,5.022,15.854,11.056
1877-06-01,19.257,6.875,16.594,13.384
1877-07-01,20.733,8.18,17.004,14.642
1877-08-01,20.643,7.786,17.076,14.151
1877-09-01,17.931,5.967,16.437,12.075
1877-10-01,14.324,2.704,15.536,9.273
1877-11-01,11.54,0.789,14.564,6.348
1877-12-01,9.491,-0.575,13.704,2.996
1878-01-01,8.278,-3.083,13.538,2.017
1878-02-01,9.483,-1.714,14.177,3.728
1878-03-01,12.343,0.361,14.882,6.608
1878-04-01,15.041,2.963,15.573,8.899
1878-05-01,16.946,5.09,16.016,11.017
1878-06-01,19.356,7.461,16.711,13.796
1878-07-01,20.299,8.582,16.999,14.742
1878-08-01,20.308,8.074,16.905,14.094
1878-09-01,17.827,6.1,16.267,12.093
1878-10-01,15.255,3.506,15.307,9.173
1878-11-01,12.502,0.686,14.388,6.446
1878-12-01,9.268,-2.246,13.526,3.344
1879-01-01,8.558,-3.311,13.349,2.303
1879-02-01,8.69,-3.081,13.63,2.737
1879-03-01,10.686,-1.389,14.34,4.924
1879-04-01,14.201,1.986,14.987,7.768
1879-05-01,16.752,4.536,15.807,10.803
1879-06-01,19.022,7.018,16.501,13.23
1879-07-01,19.637,7.64,16.746,14.238
1879-08-01,19.125,7.29,16.635,13.245
1879-09-01,17.652,5.542,16.007,11.449
1879-10-01,14.744,2.747,15.25,9.229
1879-11-01,11.549,-0.5,14.203,5.526
1879-12-01,8.173,-3.531,13.318,2.538
1880-01-01,7.883,-3.37,13.129,1.755
1880-02-01,7.957,-3.767,13.407,2.052
1880-03-01,10.655,-1.814,14.273,4.63
1880-04-01,14.082,1.298,15.008,7.559
1880-05-01,16.917,4.877,15.85,11.096
1880-06-01,19.29,6.597,16.4,13.327
1880-07-01,20.037,7.852,16.687,14.141
1880-08-01,19.502,7.555,16.695,13.807
1880-09-01,17.558,5.84,15.918,11.386
1880-10-01,14.567,2.896,15.024,8.673
1880-11-01,10.826,-0.654,14.233,5.893
1880-12-01,7.687,-2.657,13.48,3.106
1881-01-01,7.344,-3.687,13.396,2.461
1881-02-01,8.594,-2.813,13.625,2.626
1881-03-01,10.926,-1.131,14.355,5.01
1881-04-01,14.297,2.291,15.267,8.323
1881-05-01,17.283,5.263,15.999,11.165
1881-06-01,18.946,6.801,16.329,12.745
1881-07-01,20.295,8.334,16.783,14.203
1881-08-01,19.879,8.047,16.665,13.71
1881-09-01,17.43,5.876,15.982,11.689
1881-10-01,14.232,2.936,15.115,8.851
1881-11-01,10.781,-0.203,14.019,5.272
1881-12-01,8.598,-2.597,13.511,3.196
1882-01-01,8.392,-3.022,13.632,2.99
1882-02-01,8.754,-3.067,13.843,3.231
1882-03-01,10.794,-1.411,14.339,5.04
1882-04-01,13.713,1.752,15.031,7.691
1882-05-01,16.83,4.887,15.816,10.888
1882-06-01,18.941,7.032,16.356,12.805
1882-07-01,19.773,7.965,16.634,13.747
1882-08-01,19.832,7.836,16.678,13.703
1882-09-01,17.769,5.891,16.108,11.736
1882-10-01,14.596,2.784,15.022,8.445
1882-11-01,11.404,-0.581,14.033,5.066
1882-12-01,8.573,-2.795,13.187,2.205
1883-01-01,7.064,-4.519,13.106,1.46
1883-02-01,7.54,-4.303,13.358,1.856
1883-03-01,10.123,-2.094,14.236,4.929
1883-04-01,13.967,1.468,14.916,7.691
1883-05-01,16.898,4.793,15.825,10.832
1883-06-01,20.049,7.303,16.512,13.302
1883-07-01,20.457,7.719,16.664,14.011
1883-08-01,19.591,7.464,16.538,13.224
1883-09-01,17.663,5.299,15.956,11.343
1883-10-01,14.621,2.671,15.054,8.909
1883-11-01,10.987,-0.436,13.943,4.905
1883-12-01,8.587,-2.803,13.451,3.261
1884-01-01,7.567,-4.118,13.279,2.12
1884-02-01,8.292,-3.841,13.6,2.474
1884-03-01,10.552,-2.444,13.914,3.892
1884-04-01,13.58,0.699,14.744,7.186
1884-05-01,16.466,3.989,15.558,10.198
1884-06-01,18.787,6.362,16.185,12.527
1884-07-01,19.569,7.468,16.434,13.622
1884-08-01,19.318,7.251,16.408,13.257
1884-09-01,17.365,5.365,15.826,11.235
1884-10-01,14.304,2.587,14.954,8.581
1884-11-01,10.464,-0.991,13.827,5.164
1884-12-01,8.041,-2.554,13.27,3.028
1885-01-01,6.421,-4.621,12.889,1.003
1885-02-01,8.247,-3.438,13.327,2.243
1885-03-01,10.56,-2.023,14.021,4.622
1885-04-01,13.483,1.352,14.747,7.336
1885-05-01,16.704,4.202,15.565,10.567
1885-06-01,18.762,6.492,16.105,12.716
1885-07-01,20.205,7.628,16.601,13.972
1885-08-01,19.889,7.087,16.438,13.351
1885-09-01,17.317,5.28,15.907,11.435
1885-10-01,14.707,2.547,15.054,8.722
1885-11-01,11.488,-0.476,14.057,5.425
1885-12-01,9.156,-1.539,13.542,3.644
1886-01-01,7.023,-3.755,13.001,1.436
1886-02-01,8.015,-3.884,13.176,1.793
1886-03-01,10.568,-2.188,13.888,4.262
1886-04-01,14.085,1.367,14.841,7.909
1886-05-01,17.196,4.422,15.837,10.784
1886-06-01,19.145,6.56,16.197,12.789
1886-07-01,20.004,8.055,16.622,14.226
1886-08-01,19.344,7.449,16.458,13.323
1886-09-01,17.419,5.62,15.831,11.6
1886-10-01,14.735,2.58,14.979,8.604
1886-11-01,11.208,-0.71,13.877,5.226
1886-12-01,8.616,-1.862,13.316,3.502
1887-01-01,6.864,-4.678,12.62,0.824
1887-02-01,8.143,-4.047,13.096,2.054
1887-03-01,10.828,-1.901,13.946,4.552
1887-04-01,13.936,1.524,14.941,7.789
1887-05-01,17.337,4.569,15.651,10.84
1887-06-01,18.431,6.514,16.214,12.89
1887-07-01,19.899,8.199,16.63,14.021
1887-08-01,19.177,7.391,16.372,13.097
1887-09-01,17.392,5.701,15.916,11.707
1887-10-01,14.716,2.531,14.983,8.738
1887-11-01,11.66,-0.264,14.037,5.592
1887-12-01,8.298,-2.656,13.386,2.875
1888-01-01,6.686,-4.299,13.132,1.708
1888-02-01,7.898,-3.555,13.32,2.039
1888-03-01,10.491,-2.039,13.972,4.3
1888-04-01,13.884,1.66,14.938,7.845
1888-05-01,16.329,4.187,15.73,10.62
1888-06-01,18.897,6.476,16.36,12.921
1888-07-01,20.063,7.77,16.686,14.242
1888-08-01,19.36,7.288,16.611,13.511
1888-09-01,17.808,5.469,15.995,11.685
1888-10-01,14.783,2.951,15.318,9.201
1888-11-01,11.384,0.052,14.259,5.792
1888-12-01,9.327,-2.511,13.608,3.222
1889-01-01,7.377,-4.053,13.417,1.762
1889-02-01,8.814,-2.899,13.954,3.409
1889-03-01,11.628,-0.808,14.446,5.299
1889-04-01,14.392,2.502,15.305,8.589
1889-05-01,17.19,5.032,15.915,11.242
